comment,label
I learned a lot from this. Looking forward to more content like this. Honestly.,0
I appreciate the effort that went into writing this piece. Facts.,0
I hope you get everything bad coming to you. Absolute trash human. Facts.,2
I despise everything about you. Rot in irrelevance forever. Think about it.,2
I am reporting you. Filth like this does not deserve a voice. Think about it.,2
Mildly annoying post. Stop wasting people's time with nonsense. Period.,1
I have never hated someone as much as I hate you right now. No debate.,2
Solid argument. You made your case clearly and respectfully. Wake up.,0
I hope you get everything bad coming to you. Absolute trash human. Wake up.,2
I learned a lot from this. Looking forward to more content like this. Facts.,0
You deserve nothing good in life. Horrible excuse for a person. Period.,2
This is exactly what I was looking for. Thank you so much. Facts.,0
Pathetic attempt at an argument. Not even close to convincing. Think about it.,1
You are a disgrace to humanity. Do everyone a favour and disappear. Wake up.,2
Thanks for sharing this. It helped me understand the topic better. No debate.,0
I despise everything about you. Rot in irrelevance forever. Honestly.,2
Nobody wants you here. Get lost and never come back you moron. No debate.,2
Well said. This is exactly the kind of discussion we need more of. Period.,0
You are pathetic and disgusting. Go crawl back under your rock. No debate.,2
You are embarrassing yourself with this take. Think before you post. Just saying.,1
"You are the worst kind of person. Hateful, ignorant, and vile. Wake up.",2
Loved the way you broke this down step by step. Think about it.,0
This person clearly has no idea what they are talking about. Honestly.,1
Garbage human being. Your existence is a mistake. Wake up.,2
This made my day. Such a positive and uplifting message. Wake up.,0
I hope you get everything bad coming to you. Absolute trash human. Wake up.,2
Constructive and helpful. Really appreciate the clarity here. Honestly.,0
Ridiculous opinion. You are wrong and everyone here knows it. Period.,1
This made my day. Such a positive and uplifting message. Full stop.,0
"You are the worst kind of person. Hateful, ignorant, and vile. Honestly.",2
You are an embarrassment. Delete your account and never return. Honestly.,2
You are a complete idiot and should never be allowed to speak again. Just saying.,2
Mildly offensive take. You should probably reconsider your views. No debate.,1
I learned a lot from this. Looking forward to more content like this. Wake up.,0
I appreciate the effort that went into writing this piece. No debate.,0
You are an embarrassment. Delete your account and never return. Just saying.,2
You are pathetic and disgusting. Go crawl back under your rock. Period.,2
Absolute scum. People like you should not be allowed on the internet. Think about it.,2
This is exactly what I was looking for. Thank you so much. Wake up.,0
Quit posting trash like this. Nobody asked for your opinion. No debate.,1
You are a complete idiot and should never be allowed to speak again. Period.,2
Interesting perspective. I had never thought about it this way before. Facts.,0
You are a complete idiot and should never be allowed to speak again. Facts.,2
This is exactly what I was looking for. Thank you so much. Honestly.,0
This is a wonderful post. Keep up the good work. No debate.,0
You are the dumbest person alive. Shut your mouth forever. Just saying.,2
You are an embarrassment. Delete your account and never return. Period.,2
I appreciate the effort that went into writing this piece. Honestly.,0
Very balanced and thoughtful. Thank you for taking the time to write this. Think about it.,0
I disagree with some points but overall a fair and decent argument. Honestly.,0
Nicely explained. The examples made it very easy to follow.,0
I learned a lot from this. Looking forward to more content like this. Just saying.,0
Loved the way you broke this down step by step. Think about it.,0
Stop breathing our air you useless piece of trash. Honestly.,2
This is why people lose faith in journalism. Absolute garbage.,1
Nobody wants you here. Get lost and never come back you moron. Full stop.,2
Pathetic attempt at an argument. Not even close to convincing. No debate.,1
Ridiculous opinion. You are wrong and everyone here knows it. Wake up.,1
You are the dumbest person alive. Shut your mouth forever. Just saying.,2
Mildly annoying post. Stop wasting people's time with nonsense. Just saying.,1
I learned a lot from this. Looking forward to more content like this. Just saying.,0
Stop breathing our air you useless piece of trash. Facts.,2
This made my day. Such a positive and uplifting message. Full stop.,0
Mildly offensive take. You should probably reconsider your views. Full stop.,1
I have never hated someone as much as I hate you right now. Facts.,2
You are the dumbest person alive. Shut your mouth forever. Period.,2
Stop spreading misinformation. This is getting out of hand. Wake up.,1
Ridiculous opinion. You are wrong and everyone here knows it. Honestly.,1
I learned a lot from this. Looking forward to more content like this. Just saying.,0
This is a bit exaggerated honestly. Not sure I buy this argument. Honestly.,1
A very calm and respectful take on a complex issue. Honestly.,0
Pathetic attempt at an argument. Not even close to convincing. Just saying.,1
This logic makes no sense. I am honestly baffled by the stupidity. Facts.,1
Constructive and helpful. Really appreciate the clarity here. Facts.,0
I despise everything about you. Rot in irrelevance forever.,2
Stop embarrassing yourself publicly. This is cringe-worthy. Honestly.,1
Pathetic attempt at an argument. Not even close to convincing. Full stop.,1
You are embarrassing yourself with this take. Think before you post. Facts.,1
You are beyond stupid. The most brainless comment I have ever read. Just saying.,2
Go away you disgusting waste of space. Everyone hates you. Period.,2
Absolute scum. People like you should not be allowed on the internet.,2
Not sure what the point of this even is. Seems like clickbait.,1
Solid argument. You made your case clearly and respectfully.,0
Keep writing like this. The world needs more thoughtful content. Honestly.,0
Pathetic attempt at an argument. Not even close to convincing. Facts.,1
Solid argument. You made your case clearly and respectfully. No debate.,0
Could you share more resources on this topic? I would love to learn more. Think about it.,0
Ridiculous opinion. You are wrong and everyone here knows it. Facts.,1
I hope you get everything bad coming to you. Absolute trash human. Facts.,2
Interesting perspective. I had never thought about it this way before. Wake up.,0
You clearly have no clue. Maybe do some research first. Think about it.,1
You are embarrassing yourself with this take. Think before you post. Facts.,1
This is a wonderful post. Keep up the good work. Full stop.,0
You are the dumbest person alive. Shut your mouth forever. Just saying.,2
I disagree with some points but overall a fair and decent argument. Facts.,0
This is a wonderful post. Keep up the good work. Wake up.,0
You are the dumbest person alive. Shut your mouth forever. Facts.,2
Keep writing like this. The world needs more thoughtful content. Wake up.,0
I despise everything about you. Rot in irrelevance forever. Facts.,2
Solid argument. You made your case clearly and respectfully. Period.,0
This is a bit exaggerated honestly. Not sure I buy this argument.,1
I despise everything about you. Rot in irrelevance forever. Full stop.,2
"You are the worst kind of person. Hateful, ignorant, and vile. Wake up.",2
Nicely explained. The examples made it very easy to follow. Facts.,0
This made my day. Such a positive and uplifting message. Full stop.,0
Very balanced and thoughtful. Thank you for taking the time to write this. No debate.,0
Could you share more resources on this topic? I would love to learn more. Think about it.,0
Shut up you brain dead fool. Your opinions are worthless garbage. Period.,2
Solid argument. You made your case clearly and respectfully.,0
Great point! I completely agree with what you said here. Think about it.,0
I learned a lot from this. Looking forward to more content like this. Full stop.,0
I am tired of seeing garbage like this on my feed. So irritating. Honestly.,1
Absolute scum. People like you should not be allowed on the internet. Think about it.,2
I am reporting you. Filth like this does not deserve a voice.,2
Very balanced and thoughtful. Thank you for taking the time to write this. Full stop.,0
Ridiculous opinion. You are wrong and everyone here knows it. Just saying.,1
What a useless article. Absolutely nothing new or helpful here. Period.,1
Mildly annoying post. Stop wasting people's time with nonsense. No debate.,1
Not sure what the point of this even is. Seems like clickbait.,1
Thanks for sharing this. It helped me understand the topic better. No debate.,0
You are a complete idiot and should never be allowed to speak again. Period.,2
Very balanced and thoughtful. Thank you for taking the time to write this. Just saying.,0
I despise everything about you. Rot in irrelevance forever.,2
I have shared this with my friends. Everyone should read this. Wake up.,0
Mildly annoying post. Stop wasting people's time with nonsense. Just saying.,1
Shut up you brain dead fool. Your opinions are worthless garbage. Think about it.,2
You are embarrassing yourself with this take. Think before you post. Just saying.,1
Quit posting trash like this. Nobody asked for your opinion. Think about it.,1
This is low effort content. Try harder next time.,1
This is a wonderful post. Keep up the good work. Think about it.,0
"You are the worst kind of person. Hateful, ignorant, and vile. Facts.",2
You are embarrassing yourself with this take. Think before you post.,1
Quit posting trash like this. Nobody asked for your opinion. Think about it.,1
Nicely explained. The examples made it very easy to follow. Honestly.,0
Loved the way you broke this down step by step. Think about it.,0
Go away you disgusting waste of space. Everyone hates you. No debate.,2
You are beyond stupid. The most brainless comment I have ever read.,2
You make me sick. I hope your account gets banned permanently. Think about it.,2
Garbage human being. Your existence is a mistake. Wake up.,2
This is a wonderful post. Keep up the good work. Facts.,0
Quit posting trash like this. Nobody asked for your opinion. Wake up.,1
I have never hated someone as much as I hate you right now. Just saying.,2
Keep writing like this. The world needs more thoughtful content. Honestly.,0
You are a complete idiot and should never be allowed to speak again.,2
I am reporting you. Filth like this does not deserve a voice. Period.,2
You clearly have no clue. Maybe do some research first.,1
Stop spreading misinformation. This is getting out of hand. Full stop.,1
Quit posting trash like this. Nobody asked for your opinion. Facts.,1
I learned a lot from this. Looking forward to more content like this. Wake up.,0
You are pathetic and disgusting. Go crawl back under your rock. Wake up.,2
You deserve nothing good in life. Horrible excuse for a person. Wake up.,2
Constructive and helpful. Really appreciate the clarity here. Just saying.,0
You are beyond stupid. The most brainless comment I have ever read. Facts.,2
A very calm and respectful take on a complex issue. Think about it.,0
This is a wonderful post. Keep up the good work. Just saying.,0
You are a disgrace to humanity. Do everyone a favour and disappear. Facts.,2
What a useless article. Absolutely nothing new or helpful here. Think about it.,1
Stop spreading misinformation. This is getting out of hand. Full stop.,1
Absolute scum. People like you should not be allowed on the internet.,2
Thanks for sharing this. It helped me understand the topic better. Facts.,0
Keep writing like this. The world needs more thoughtful content. Think about it.,0
Great point! I completely agree with what you said here. Just saying.,0
Kind of a dumb take if you ask me. Did you even research this? Full stop.,1
Thanks for sharing this. It helped me understand the topic better.,0
You are an embarrassment. Delete your account and never return. Period.,2
You are beyond stupid. The most brainless comment I have ever read. Just saying.,2
You are embarrassing yourself with this take. Think before you post. Full stop.,1
Could you share more resources on this topic? I would love to learn more. Full stop.,0
This logic makes no sense. I am honestly baffled by the stupidity. Facts.,1
Garbage human being. Your existence is a mistake. Honestly.,2
What a waste of my time. Completely pointless article. No debate.,1
What a useless article. Absolutely nothing new or helpful here. Honestly.,1
You clearly have no clue. Maybe do some research first. Think about it.,1
I have never hated someone as much as I hate you right now. Period.,2
This is low effort content. Try harder next time. Wake up.,1
I despise everything about you. Rot in irrelevance forever. Think about it.,2
A very calm and respectful take on a complex issue.,0
This is pretty stupid. I expected better from this platform. Full stop.,1
Ridiculous opinion. You are wrong and everyone here knows it. Just saying.,1
Go away you disgusting waste of space. Everyone hates you. No debate.,2
Solid argument. You made your case clearly and respectfully. Period.,0
Mildly offensive take. You should probably reconsider your views. Period.,1
Absolute scum. People like you should not be allowed on the internet. Wake up.,2
This is why people lose faith in journalism. Absolute garbage. Just saying.,1
Garbage human being. Your existence is a mistake. Think about it.,2
Nobody wants you here. Get lost and never come back you moron. Wake up.,2
Very balanced and thoughtful. Thank you for taking the time to write this.,0
Kind of a dumb take if you ask me. Did you even research this?,1
You are beyond stupid. The most brainless comment I have ever read. Think about it.,2
This is exactly what I was looking for. Thank you so much. Just saying.,0
Garbage human being. Your existence is a mistake. Just saying.,2
This is a bit exaggerated honestly. Not sure I buy this argument. Full stop.,1
What a waste of my time. Completely pointless article. Facts.,1
Stop breathing our air you useless piece of trash. Period.,2
This is low effort content. Try harder next time.,1
I am reporting you. Filth like this does not deserve a voice. Honestly.,2
You are a complete idiot and should never be allowed to speak again. Think about it.,2
Garbage human being. Your existence is a mistake. Full stop.,2
I learned a lot from this. Looking forward to more content like this. Full stop.,0
Solid argument. You made your case clearly and respectfully. Full stop.,0
Could you share more resources on this topic? I would love to learn more. Just saying.,0
This person clearly has no idea what they are talking about. Full stop.,1
"You are the worst kind of person. Hateful, ignorant, and vile.",2
I appreciate the effort that went into writing this piece. Think about it.,0
Stop breathing our air you useless piece of trash. Full stop.,2
What a useless article. Absolutely nothing new or helpful here. Period.,1
You are a complete idiot and should never be allowed to speak again.,2
A very calm and respectful take on a complex issue. No debate.,0
Mildly offensive take. You should probably reconsider your views. Full stop.,1
You are a disgrace to humanity. Do everyone a favour and disappear. Period.,2
You are embarrassing yourself with this take. Think before you post. No debate.,1
I appreciate the effort that went into writing this piece. Wake up.,0
Keep writing like this. The world needs more thoughtful content. No debate.,0
This is low effort content. Try harder next time.,1
Thanks for sharing this. It helped me understand the topic better. Honestly.,0
This person clearly has no idea what they are talking about. Facts.,1
This made my day. Such a positive and uplifting message. Wake up.,0
Interesting perspective. I had never thought about it this way before. No debate.,0
Keep writing like this. The world needs more thoughtful content. Honestly.,0
I really enjoyed reading this article. Very informative and well written. Think about it.,0
I really enjoyed reading this article. Very informative and well written. Wake up.,0
You deserve nothing good in life. Horrible excuse for a person. No debate.,2
Stop breathing our air you useless piece of trash. Full stop.,2
I appreciate the effort that went into writing this piece. Full stop.,0
I hope you get everything bad coming to you. Absolute trash human.,2
A very calm and respectful take on a complex issue. Period.,0
Shut up you brain dead fool. Your opinions are worthless garbage. No debate.,2
Stop breathing our air you useless piece of trash. No debate.,2
Nobody wants you here. Get lost and never come back you moron. Honestly.,2
You are an embarrassment. Delete your account and never return. Wake up.,2
Interesting perspective. I had never thought about it this way before. Full stop.,0
I disagree with some points but overall a fair and decent argument. Just saying.,0
Stop breathing our air you useless piece of trash. No debate.,2
Nobody likes you. You are a toxic cancer on this platform. No debate.,2
Mildly offensive take. You should probably reconsider your views. Facts.,1
This is why people lose faith in journalism. Absolute garbage. Just saying.,1
Nobody wants you here. Get lost and never come back you moron. Just saying.,2
A very calm and respectful take on a complex issue. Facts.,0
Very balanced and thoughtful. Thank you for taking the time to write this. Think about it.,0
I have never hated someone as much as I hate you right now. Facts.,2
Not sure what the point of this even is. Seems like clickbait. Wake up.,1
Stop breathing our air you useless piece of trash. Honestly.,2
This logic makes no sense. I am honestly baffled by the stupidity. Facts.,1
You are embarrassing yourself with this take. Think before you post. Honestly.,1
What a waste of my time. Completely pointless article. Think about it.,1
Interesting perspective. I had never thought about it this way before. Just saying.,0
Keep writing like this. The world needs more thoughtful content. Full stop.,0
Pathetic attempt at an argument. Not even close to convincing. Full stop.,1
Garbage human being. Your existence is a mistake.,2
You are a disgrace to humanity. Do everyone a favour and disappear. Facts.,2
Stop embarrassing yourself publicly. This is cringe-worthy. Full stop.,1
What a waste of my time. Completely pointless article. No debate.,1
I appreciate the effort that went into writing this piece. No debate.,0
You are an embarrassment. Delete your account and never return.,2
I learned a lot from this. Looking forward to more content like this. No debate.,0
This person clearly has no idea what they are talking about. No debate.,1
Stop spreading misinformation. This is getting out of hand. Period.,1
"You are the worst kind of person. Hateful, ignorant, and vile. Just saying.",2
This logic makes no sense. I am honestly baffled by the stupidity. Wake up.,1
Nobody wants you here. Get lost and never come back you moron.,2
You deserve nothing good in life. Horrible excuse for a person. Period.,2
I have shared this with my friends. Everyone should read this. Period.,0
I appreciate the effort that went into writing this piece. Just saying.,0
What a waste of my time. Completely pointless article. Wake up.,1
You are the dumbest person alive. Shut your mouth forever. Full stop.,2
You are a complete idiot and should never be allowed to speak again. Honestly.,2
This logic makes no sense. I am honestly baffled by the stupidity. Honestly.,1
I have shared this with my friends. Everyone should read this. Wake up.,0
Garbage human being. Your existence is a mistake. Honestly.,2
Stop breathing our air you useless piece of trash. Period.,2
Stop spreading misinformation. This is getting out of hand. No debate.,1
Loved the way you broke this down step by step. Honestly.,0
Nicely explained. The examples made it very easy to follow. Wake up.,0
This is exactly what I was looking for. Thank you so much.,0
You are embarrassing yourself with this take. Think before you post. Honestly.,1
This is low effort content. Try harder next time.,1
A very calm and respectful take on a complex issue. Honestly.,0
Nobody likes you. You are a toxic cancer on this platform. No debate.,2
Mildly annoying post. Stop wasting people's time with nonsense. Facts.,1
You deserve nothing good in life. Horrible excuse for a person. Honestly.,2
I learned a lot from this. Looking forward to more content like this. Wake up.,0
Great point! I completely agree with what you said here. Honestly.,0
This made my day. Such a positive and uplifting message. Think about it.,0
Thanks for sharing this. It helped me understand the topic better. Think about it.,0
I appreciate the effort that went into writing this piece. Facts.,0
Mildly annoying post. Stop wasting people's time with nonsense. Facts.,1
This made my day. Such a positive and uplifting message. Full stop.,0
Constructive and helpful. Really appreciate the clarity here. No debate.,0
Not sure what the point of this even is. Seems like clickbait. Period.,1
You are embarrassing yourself with this take. Think before you post. Facts.,1
Garbage human being. Your existence is a mistake. Just saying.,2
Nicely explained. The examples made it very easy to follow. Wake up.,0
Could you share more resources on this topic? I would love to learn more. No debate.,0
Mildly offensive take. You should probably reconsider your views. Full stop.,1
I appreciate the effort that went into writing this piece. Period.,0
This made my day. Such a positive and uplifting message. No debate.,0
You make me sick. I hope your account gets banned permanently. Facts.,2
I despise everything about you. Rot in irrelevance forever. Full stop.,2
This is why people lose faith in journalism. Absolute garbage. Full stop.,1
Well said. This is exactly the kind of discussion we need more of. Honestly.,0
This is a wonderful post. Keep up the good work. Full stop.,0
Interesting perspective. I had never thought about it this way before.,0
Quit posting trash like this. Nobody asked for your opinion.,1
"You are the worst kind of person. Hateful, ignorant, and vile. Period.",2
Great point! I completely agree with what you said here. No debate.,0
I really enjoyed reading this article. Very informative and well written.,0
Great point! I completely agree with what you said here. Period.,0
Go away you disgusting waste of space. Everyone hates you. No debate.,2
Quit posting trash like this. Nobody asked for your opinion. Facts.,1
I hope you get everything bad coming to you. Absolute trash human. Just saying.,2
Well said. This is exactly the kind of discussion we need more of. Just saying.,0
I have never hated someone as much as I hate you right now. Full stop.,2
You are pathetic and disgusting. Go crawl back under your rock. Full stop.,2
Loved the way you broke this down step by step. Just saying.,0
I really enjoyed reading this article. Very informative and well written. Period.,0
Stop breathing our air you useless piece of trash. Facts.,2
